date,date_id,year,month,quarter
2011-10-14,275,2011,10,4
2011-10-15,276,2011,10,4
2011-10-16,277,2011,10,4
2011-10-17,278,2011,10,4
2011-10-18,279,2011,10,4
2011-10-19,280,2011,10,4
2011-10-20,281,2011,10,4
2011-10-21,282,2011,10,4
2011-10-22,283,2011,10,4
2011-10-24,284,2011,10,4
2011-10-25,285,2011,10,4
2011-10-26,286,2011,10,4
2011-10-27,287,2011,10,4
2011-10-28,288,2011,10,4
2011-10-29,289,2011,10,4
2011-10-30,290,2011,10,4
2011-10-31,291,2011,10,4
2011-11-01,292,2011,11,4
2011-11-02,293,2011,11,4
2011-11-03,294,2011,11,4
2011-11-04,295,2011,11,4
2011-11-05,296,2011,11,4
2011-11-06,297,2011,11,4
2011-11-07,298,2011,11,4
2011-11-08,299,2011,11,4
2011-11-09,300,2011,11,4
2011-11-10,301,2011,11,4
2011-11-11,302,2011,11,4
2011-11-12,303,2011,11,4
2011-11-13,304,2011,11,4
2011-11-14,305,2011,11,4
2011-11-15,306,2011,11,4
2011-11-16,307,2011,11,4
2011-11-17,308,2011,11,4
2011-11-18,309,2011,11,4
2011-11-19,310,2011,11,4
2011-11-20,311,2011,11,4
2011-11-21,312,2011,11,4
2011-11-22,313,2011,11,4
2011-11-23,314,2011,11,4
2011-11-24,315,2011,11,4
2011-11-25,316,2011,11,4
2011-11-26,317,2011,11,4
2011-11-27,318,2011,11,4
2011-11-28,319,2011,11,4
2011-11-29,320,2011,11,4
2011-11-30,321,2011,11,4
2011-12-01,322,2011,12,4
2011-12-02,323,2011,12,4
2011-12-03,324,2011,12,4
2011-12-04,325,2011,12,4
2011-12-05,326,2011,12,4
2011-12-06,327,2011,12,4
2011-12-07,328,2011,12,4
2011-12-08,329,2011,12,4
2011-12-09,330,2011,12,4
2011-12-10,331,2011,12,4
2011-12-11,332,2011,12,4
2011-12-12,333,2011,12,4
2011-12-13,334,2011,12,4
2011-12-14,335,2011,12,4
2011-12-15,336,2011,12,4
2011-12-16,337,2011,12,4
2011-12-17,338,2011,12,4
2011-12-19,339,2011,12,4
2011-12-20,340,2011,12,4
2011-12-21,341,2011,12,4
2011-12-22,342,2011,12,4
2011-12-23,343,2011,12,4
2011-12-24,344,2011,12,4
2011-12-25,345,2011,12,4
2011-12-26,346,2011,12,4
2011-12-27,347,2011,12,4
2011-12-28,348,2011,12,4
2011-12-29,349,2011,12,4
2011-12-30,350,2011,12,4
2011-12-31,351,2011,12,4
2012-01-02,352,2012,1,1
2012-01-03,353,2012,1,1
2012-01-04,354,2012,1,1
2012-01-05,355,2012,1,1
2012-01-06,356,2012,1,1
2012-01-07,357,2012,1,1
2012-01-08,358,2012,1,1
2012-01-09,359,2012,1,1
2012-01-10,360,2012,1,1
2012-01-11,361,2012,1,1
2012-01-12,362,2012,1,1
2012-01-13,363,2012,1,1
2012-01-14,364,2012,1,1
2012-01-16,365,2012,1,1
2012-01-17,366,2012,1,1
2012-01-18,367,2012,1,1
2012-01-19,368,2012,1,1
2012-01-20,369,2012,1,1
2012-01-21,370,2012,1,1
2012-01-22,371,2012,1,1
2012-01-23,372,2012,1,1
2012-01-24,373,2012,1,1
2012-01-25,374,2012,1,1
2012-01-26,375,2012,1,1
2012-01-27,376,2012,1,1
2012-01-28,377,2012,1,1
2012-01-29,378,2012,1,1
2012-01-30,379,2012,1,1
2012-01-31,380,2012,1,1
2012-02-01,381,2012,2,1
2012-02-02,382,2012,2,1
2012-02-03,383,2012,2,1
2012-02-04,384,2012,2,1
2012-02-05,385,2012,2,1
2012-02-06,386,2012,2,1
2012-02-07,387,2012,2,1
2012-02-08,388,2012,2,1
2012-02-09,389,2012,2,1
2012-02-10,390,2012,2,1
2012-02-11,391,2012,2,1
2012-02-12,392,2012,2,1
2012-02-13,393,2012,2,1
2012-02-14,394,2012,2,1
2012-02-15,395,2012,2,1
2012-02-16,396,2012,2,1
2012-02-17,397,2012,2,1
2012-02-18,398,2012,2,1
2012-02-19,399,2012,2,1
2012-02-20,400,2012,2,1
2012-02-21,401,2012,2,1
2012-02-22,402,2012,2,1
2012-02-23,403,2012,2,1
2012-02-24,404,2012,2,1
2012-02-25,405,2012,2,1
2012-02-27,406,2012,2,1
2012-02-28,407,2012,2,1
2012-02-29,408,2012,2,1
2012-03-01,409,2012,3,1
2012-03-02,410,2012,3,1
2012-03-03,411,2012,3,1
2012-03-05,412,2012,3,1
2012-03-06,413,2012,3,1
2012-03-07,414,2012,3,1
2012-03-08,415,2012,3,1
2012-03-09,416,2012,3,1
2012-03-10,417,2012,3,1
2012-03-11,418,2012,3,1
2012-03-12,419,2012,3,1
2012-03-13,420,2012,3,1
2012-03-14,421,2012,3,1
2012-03-15,422,2012,3,1
2012-03-16,423,2012,3,1
2012-03-17,424,2012,3,1
2012-03-19,425,2012,3,1
2012-03-20,426,2012,3,1
2012-03-21,427,2012,3,1
2012-03-22,428,2012,3,1
2012-03-23,429,2012,3,1
2012-03-24,430,2012,3,1
2012-03-26,431,2012,3,1
2012-03-27,432,2012,3,1
2012-03-28,433,2012,3,1
2012-03-29,434,2012,3,1
2012-03-30,435,2012,3,1
2012-03-31,436,2012,3,1
2012-04-01,437,2012,4,2
2012-04-02,438,2012,4,2
2012-04-03,439,2012,4,2
2012-04-04,440,2012,4,2
2012-04-05,441,2012,4,2
2012-04-06,442,2012,4,2
2012-04-07,443,2012,4,2
2012-04-09,444,2012,4,2
2012-04-10,445,2012,4,2
2012-04-11,446,2012,4,2
2012-04-12,447,2012,4,2
2012-04-13,448,2012,4,2
2012-04-14,449,2012,4,2
2012-04-15,450,2012,4,2
2012-04-16,451,2012,4,2
2012-04-17,452,2012,4,2
2012-04-18,453,2012,4,2
2012-04-19,454,2012,4,2
2012-04-20,455,2012,4,2
2012-04-21,456,2012,4,2
2012-04-22,457,2012,4,2
2012-04-23,458,2012,4,2
2012-04-24,459,2012,4,2
2012-04-25,460,2012,4,2
2012-04-26,461,2012,4,2
2012-04-27,462,2012,4,2
2012-04-28,463,2012,4,2
2012-04-29,464,2012,4,2
2012-04-30,465,2012,4,2
2012-05-01,466,2012,5,2
2012-05-02,467,2012,5,2
2012-05-03,468,2012,5,2
2012-05-04,469,2012,5,2
2012-05-05,470,2012,5,2
2012-05-06,471,2012,5,2
2012-05-07,472,2012,5,2
2012-05-08,473,2012,5,2
2012-05-09,474,2012,5,2
2012-05-10,475,2012,5,2
2012-05-11,476,2012,5,2
2012-05-12,477,2012,5,2
2012-05-13,478,2012,5,2
2012-05-14,479,2012,5,2
2012-05-15,480,2012,5,2
2012-05-16,481,2012,5,2
2012-05-17,482,2012,5,2
2012-05-18,483,2012,5,2
2012-05-19,484,2012,5,2
2012-05-20,485,2012,5,2
2012-05-21,486,2012,5,2
2012-05-22,487,2012,5,2
2012-05-23,488,2012,5,2
2012-05-24,489,2012,5,2
2012-05-25,490,2012,5,2
2012-05-26,491,2012,5,2
2012-05-27,492,2012,5,2
2012-05-28,493,2012,5,2
2012-05-29,494,2012,5,2
2012-05-30,495,2012,5,2
2012-05-31,496,2012,5,2
2012-06-01,497,2012,6,2
2012-06-02,498,2012,6,2
2012-06-03,499,2012,6,2
2012-06-04,500,2012,6,2
2012-06-05,501,2012,6,2
2012-06-06,502,2012,6,2
2012-06-07,503,2012,6,2
2012-06-08,504,2012,6,2
2012-06-09,505,2012,6,2
2012-06-10,506,2012,6,2
2012-06-11,507,2012,6,2
2012-06-12,508,2012,6,2
2012-06-13,509,2012,6,2
2012-06-14,510,2012,6,2
2012-06-15,511,2012,6,2
2012-06-16,512,2012,6,2
2012-06-17,513,2012,6,2
2012-06-18,514,2012,6,2
2012-06-19,515,2012,6,2
2012-06-20,516,2012,6,2
2012-06-21,517,2012,6,2
2012-06-22,518,2012,6,2
2012-06-23,519,2012,6,2
2012-06-24,520,2012,6,2
2012-06-25,521,2012,6,2
2012-06-26,522,2012,6,2
2012-06-27,523,2012,6,2
2012-06-28,524,2012,6,2
2012-06-29,525,2012,6,2
2012-06-30,526,2012,6,2
2012-07-01,527,2012,7,3
2012-07-02,528,2012,7,3
2012-07-03,529,2012,7,3
2012-07-04,530,2012,7,3
2012-07-05,531,2012,7,3
2012-07-06,532,2012,7,3
2012-07-07,533,2012,7,3
2012-07-08,534,2012,7,3
2012-07-09,535,2012,7,3
2012-07-10,536,2012,7,3
2012-07-11,537,2012,7,3
2012-07-12,538,2012,7,3
2012-07-13,539,2012,7,3
2012-07-14,540,2012,7,3
2012-07-15,541,2012,7,3
2012-07-16,542,2012,7,3
2012-07-17,543,2012,7,3
2012-07-18,544,2012,7,3
2012-07-19,545,2012,7,3
2012-07-20,546,2012,7,3
2012-07-21,547,2012,7,3
2012-07-23,548,2012,7,3
2012-07-24,549,2012,7,3
2012-07-25,550,2012,7,3
2012-07-26,551,2012,7,3
2012-07-27,552,2012,7,3
2012-07-28,553,2012,7,3
2012-07-29,554,2012,7,3
2012-07-30,555,2012,7,3
2012-07-31,556,2012,7,3
2012-08-01,557,2012,8,3
2012-08-02,558,2012,8,3
2012-08-03,559,2012,8,3
2012-08-04,560,2012,8,3
2012-08-05,561,2012,8,3
2012-08-06,562,2012,8,3
2012-08-07,563,2012,8,3
2012-08-08,564,2012,8,3
2012-08-09,565,2012,8,3
2012-08-10,566,2012,8,3
2012-08-11,567,2012,8,3
2012-08-12,568,2012,8,3
2012-08-13,569,2012,8,3
2012-08-14,570,2012,8,3
2012-08-15,571,2012,8,3
2012-08-16,572,2012,8,3
2012-08-17,573,2012,8,3
2012-08-18,574,2012,8,3
2012-08-19,575,2012,8,3
2012-08-20,576,2012,8,3
2012-08-21,577,2012,8,3
2012-08-22,578,2012,8,3
2012-08-23,579,2012,8,3
2012-08-24,580,2012,8,3
2012-08-25,581,2012,8,3
2012-08-26,582,2012,8,3
2012-08-27,583,2012,8,3
2012-08-28,584,2012,8,3
2012-08-29,585,2012,8,3
2012-08-30,586,2012,8,3
2012-08-31,587,2012,8,3
2012-09-01,588,2012,9,3
2012-09-02,589,2012,9,3
2012-09-03,590,2012,9,3
2012-09-04,591,2012,9,3
2012-09-05,592,2012,9,3
2012-09-06,593,2012,9,3
2012-09-07,594,2012,9,3
2012-09-08,595,2012,9,3
2012-09-09,596,2012,9,3
2012-09-10,597,2012,9,3
2012-09-11,598,2012,9,3
2012-09-12,599,2012,9,3
2012-09-13,600,2012,9,3
2012-09-14,601,2012,9,3
2012-09-15,602,2012,9,3
2012-09-16,603,2012,9,3
2012-09-17,604,2012,9,3
2012-09-18,605,2012,9,3
2012-09-19,606,2012,9,3
2012-09-20,607,2012,9,3
2012-09-21,608,2012,9,3
2012-09-22,609,2012,9,3
2012-09-23,610,2012,9,3
2012-09-24,611,2012,9,3
2012-09-25,612,2012,9,3
2012-09-26,613,2012,9,3
2012-09-27,614,2012,9,3
2012-09-28,615,2012,9,3
2012-09-29,616,2012,9,3
2012-09-30,617,2012,9,3
2012-10-01,618,2012,10,4
2012-10-02,619,2012,10,4
2012-10-03,620,2012,10,4
2012-10-04,621,2012,10,4
2012-10-05,622,2012,10,4
2012-10-06,623,2012,10,4
2012-10-07,624,2012,10,4
2012-10-08,625,2012,10,4
2012-10-09,626,2012,10,4
2012-10-10,627,2012,10,4
2012-10-11,628,2012,10,4
2012-10-12,629,2012,10,4
2012-10-13,630,2012,10,4
2012-10-14,631,2012,10,4
2012-10-15,632,2012,10,4
2012-10-16,633,2012,10,4
2012-10-17,634,2012,10,4
2012-10-18,635,2012,10,4
2012-10-19,636,2012,10,4
2012-10-20,637,2012,10,4
2012-10-21,638,2012,10,4
2012-10-22,639,2012,10,4
2012-10-23,640,2012,10,4
2012-10-24,641,2012,10,4
2012-10-25,642,2012,10,4
2012-10-26,643,2012,10,4
2012-10-27,644,2012,10,4
2012-10-28,645,2012,10,4
2012-10-29,646,2012,10,4
2012-10-30,647,2012,10,4
2012-10-31,648,2012,10,4
2012-11-01,649,2012,11,4
2012-11-02,650,2012,11,4
2012-11-03,651,2012,11,4
2012-11-04,652,2012,11,4
2012-11-05,653,2012,11,4
2012-11-06,654,2012,11,4
2012-11-07,655,2012,11,4
2012-11-08,656,2012,11,4
2012-11-09,657,2012,11,4
2012-11-10,658,2012,11,4
2012-11-11,659,2012,11,4
2012-11-12,660,2012,11,4
2012-11-13,661,2012,11,4
2012-11-14,662,2012,11,4
2012-11-15,663,2012,11,4
2012-11-16,664,2012,11,4
2012-11-17,665,2012,11,4
2012-11-18,666,2012,11,4
2012-11-19,667,2012,11,4
2012-11-20,668,2012,11,4
2012-11-21,669,2012,11,4
2012-11-22,670,2012,11,4
2012-11-23,671,2012,11,4
2012-11-24,672,2012,11,4
2012-11-25,673,2012,11,4
2012-11-26,674,2012,11,4
2012-11-27,675,2012,11,4
2012-11-28,676,2012,11,4
2012-11-29,677,2012,11,4
2012-11-30,678,2012,11,4
2012-12-01,679,2012,12,4
2012-12-02,680,2012,12,4
2012-12-03,681,2012,12,4
2012-12-04,682,2012,12,4
2012-12-05,683,2012,12,4
2012-12-06,684,2012,12,4
2012-12-07,685,2012,12,4
2012-12-08,686,2012,12,4
2012-12-09,687,2012,12,4
2012-12-10,688,2012,12,4
2012-12-11,689,2012,12,4
2012-12-12,690,2012,12,4
2012-12-13,691,2012,12,4
2012-12-14,692,2012,12,4
2012-12-15,693,2012,12,4
2012-12-16,694,2012,12,4
2012-12-17,695,2012,12,4
2012-12-18,696,2012,12,4
2012-12-19,697,2012,12,4
2012-12-20,698,2012,12,4
2012-12-21,699,2012,12,4
2012-12-22,700,2012,12,4
2012-12-23,701,2012,12,4
2012-12-24,702,2012,12,4
2012-12-25,703,2012,12,4
2012-12-26,704,2012,12,4
2012-12-27,705,2012,12,4
2012-12-28,706,2012,12,4
2012-12-29,707,2012,12,4
2012-12-30,708,2012,12,4
2012-12-31,709,2012,12,4
2013-01-01,710,2013,1,1
2013-01-02,711,2013,1,1
2013-01-03,712,2013,1,1
2013-01-04,713,2013,1,1
2013-01-05,714,2013,1,1
2013-01-06,715,2013,1,1
2013-01-07,716,2013,1,1
2013-01-08,717,2013,1,1
2013-01-09,718,2013,1,1
2013-01-10,719,2013,1,1
2013-01-11,720,2013,1,1
2013-01-12,721,2013,1,1
2013-01-13,722,2013,1,1
2013-01-14,723,2013,1,1
2013-01-15,724,2013,1,1
2013-01-16,725,2013,1,1
2013-01-17,726,2013,1,1
2013-01-18,727,2013,1,1
2013-01-19,728,2013,1,1
2013-01-20,729,2013,1,1
2013-01-21,730,2013,1,1
2013-01-22,731,2013,1,1
2013-01-23,732,2013,1,1
2013-01-24,733,2013,1,1
2013-01-25,734,2013,1,1
2013-01-26,735,2013,1,1
2013-01-27,736,2013,1,1
2013-01-28,737,2013,1,1
2013-01-29,738,2013,1,1
2013-01-30,739,2013,1,1
2013-01-31,740,2013,1,1
2013-02-01,741,2013,2,1
2013-02-02,742,2013,2,1
2013-02-03,743,2013,2,1
2013-02-04,744,2013,2,1
2013-02-05,745,2013,2,1
2013-02-06,746,2013,2,1
2013-02-07,747,2013,2,1
2013-02-08,748,2013,2,1
2013-02-09,749,2013,2,1
2013-02-10,750,2013,2,1
2013-02-11,751,2013,2,1
2013-02-12,752,2013,2,1
2013-02-13,753,2013,2,1
2013-02-14,754,2013,2,1
2013-02-15,755,2013,2,1
2013-02-16,756,2013,2,1
2013-02-18,757,2013,2,1
2013-02-19,758,2013,2,1
2013-02-20,759,2013,2,1
2013-02-21,760,2013,2,1
2013-02-22,761,2013,2,1
2013-02-23,762,2013,2,1
2013-02-25,763,2013,2,1
2013-02-26,764,2013,2,1
2013-02-27,765,2013,2,1
2013-02-28,766,2013,2,1
2013-03-01,767,2013,3,1
2013-03-02,768,2013,3,1
2013-03-03,769,2013,3,1
2013-03-04,770,2013,3,1
2013-03-05,771,2013,3,1
2013-03-06,772,2013,3,1
2013-03-07,773,2013,3,1
2013-03-08,774,2013,3,1
2013-03-09,775,2013,3,1
2013-03-10,776,2013,3,1
2013-03-11,777,2013,3,1
2013-03-12,778,2013,3,1
2013-03-13,779,2013,3,1
2013-03-14,780,2013,3,1
2013-03-15,781,2013,3,1
2013-03-16,782,2013,3,1
2013-03-17,783,2013,3,1
2013-03-18,784,2013,3,1
2013-03-19,785,2013,3,1
2013-03-20,786,2013,3,1
2013-03-21,787,2013,3,1
2013-03-22,788,2013,3,1
2013-03-23,789,2013,3,1
2013-03-24,790,2013,3,1
2013-03-25,791,2013,3,1
2013-03-26,792,2013,3,1
2013-03-27,793,2013,3,1
2013-03-28,794,2013,3,1
2013-03-29,795,2013,3,1
2013-03-30,796,2013,3,1
2013-03-31,797,2013,3,1
2013-04-01,798,2013,4,2
2013-04-02,799,2013,4,2
2013-04-03,800,2013,4,2
2013-04-04,801,2013,4,2
2013-04-05,802,2013,4,2
2013-04-06,803,2013,4,2
2013-04-07,804,2013,4,2
2013-04-08,805,2013,4,2
2013-04-09,806,2013,4,2
2013-04-10,807,2013,4,2
2013-04-11,808,2013,4,2
2013-04-12,809,2013,4,2
2013-04-13,810,2013,4,2
2013-04-14,811,2013,4,2
2013-04-15,812,2013,4,2
2013-04-16,813,2013,4,2
2013-04-17,814,2013,4,2
2013-04-18,815,2013,4,2
2013-04-19,816,2013,4,2
2013-04-20,817,2013,4,2
2013-04-22,818,2013,4,2
2013-04-23,819,2013,4,2
2013-04-24,820,2013,4,2
2013-04-25,821,2013,4,2
2013-04-26,822,2013,4,2
2013-04-27,823,2013,4,2
2013-04-29,824,2013,4,2
2013-04-30,825,2013,4,2
2013-05-01,826,2013,5,2
2013-05-02,827,2013,5,2
2013-05-03,828,2013,5,2
2013-05-04,829,2013,5,2
2013-05-05,830,2013,5,2
2013-05-06,831,2013,5,2
2013-05-07,832,2013,5,2
2013-05-08,833,2013,5,2
2013-05-09,834,2013,5,2
2013-05-10,835,2013,5,2
2013-05-11,836,2013,5,2
2013-05-12,837,2013,5,2
2013-05-13,838,2013,5,2
2013-05-14,839,2013,5,2
2013-05-15,840,2013,5,2
2013-05-16,841,2013,5,2
2013-05-17,842,2013,5,2
2013-05-18,843,2013,5,2
2013-05-19,844,2013,5,2
2013-05-20,845,2013,5,2
2013-05-21,846,2013,5,2
2013-05-22,847,2013,5,2
2013-05-23,848,2013,5,2
2013-05-24,849,2013,5,2
2013-05-25,850,2013,5,2
2013-05-26,851,2013,5,2
2013-05-27,852,2013,5,2
2013-05-28,853,2013,5,2
2013-05-29,854,2013,5,2
2013-05-30,855,2013,5,2
2013-05-31,856,2013,5,2
2013-06-01,857,2013,6,2
2013-06-02,858,2013,6,2
2013-06-03,859,2013,6,2
2013-06-04,860,2013,6,2
2013-06-05,861,2013,6,2
2013-06-06,862,2013,6,2
2013-06-07,863,2013,6,2
2013-06-08,864,2013,6,2
2013-06-09,865,2013,6,2
2013-06-10,866,2013,6,2
2013-06-11,867,2013,6,2
2013-06-12,868,2013,6,2
2013-06-13,869,2013,6,2
2013-06-14,870,2013,6,2
2013-06-15,871,2013,6,2
2013-06-16,872,2013,6,2
2013-06-17,873,2013,6,2
